dex,identifier,height_dm
353,shuppet,6
354,banette,11
355,duskull,8
356,dusclops,16
357,tropius,20
358,chimecho,6
359,absol,12
360,wynaut,6
361,snorunt,7
362,glalie,15
363,spheal,8
364,sealeo,11
365,walrein,14
366,clamperl,4
367,huntail,17
368,gorebyss,18
369,relicanth,10
370,luvdisc,6
371,bagon,6
372,shelgon,11
373,salamence,15
374,beldum,6
375,metang,12
376,metagross,16
377,regirock,17
378,regice,18
379,registeel,19
380,latias,14
381,latios,20
382,kyogre,45
383,groudon,35
384,rayquaza,70
385,jirachi,3
386,deoxys-normal,17
387,turtwig,4
388,grotle,11
389,torterra,22
390,chimchar,5
391,monferno,9
392,infernape,12
393,piplup,4
394,prinplup,8
395,empoleon,17
396,starly,3
397,staravia,6
398,staraptor,12
399,bidoof,5
400,bibarel,10
401,kricketot,3
402,kricketune,10
403,shinx,5
404,luxio,9
405,luxray,14
406,budew,2
407,roserade,9
408,cranidos,9
409,rampardos,16
410,shieldon,5
411,bastiodon,13
412,burmy,2
413,wormadam-plant,5
414,mothim,9
415,combee,3
416,vespiquen,12
417,pachirisu,4
418,buizel,7
419,floatzel,11
420,cherubi,4
421,cherrim,5
422,shellos,3
423,gastrodon,9
424,ambipom,12
425,drifloon,4
426,drifblim,12
427,buneary,4
428,lopunny,12
429,mismagius,9
430,honchkrow,9
431,glameow,5
432,purugly,10
433,chingling,2
434,stunky,4
435,skuntank,10
436,bronzor,5
437,bronzong,13
438,bonsly,5
439,mime-jr,6
440,happiny,6
441,chatot,5
442,spiritomb,10
443,gible,7
444,gabite,14
445,garchomp,19
446,munchlax,6
447,riolu,7
448,lucario,12
449,hippopotas,8
450,hippowdon,20
451,skorupi,8
452,drapion,13
453,croagunk,7
454,toxicroak,13
455,carnivine,14
456,finneon,4
457,lumineon,12
458,mantyke,10
459,snover,10
460,abomasnow,22
461,weavile,11
462,magnezone,12
463,lickilicky,17
464,rhyperior,24
465,tangrowth,20
466,electivire,18
467,magmortar,16
468,togekiss,15
469,yanmega,19
470,leafeon,10
471,glaceon,8
472,gliscor,20
473,mamoswine,25
474,porygon-z,9
475,gallade,16
476,probopass,14
477,dusknoir,22
478,froslass,13
479,rotom,3
480,uxie,3
481,mesprit,3
482,azelf,3
483,dialga,54
484,palkia,42
485,heatran,17
486,regigigas,37
487,giratina-altered,45
488,cresselia,15
489,phione,4
490,manaphy,3
491,darkrai,15
492,shaymin-land,2
493,arceus,32
494,victini,4
495,snivy,6
496,servine,8
497,serperior,33
498,tepig,5
499,pignite,10
500,emboar,16
501,oshawott,5
502,dewott,8
503,samurott,15
504,patrat,5
505,watchog,11
506,lillipup,4
507,herdier,9
508,stoutland,12
509,purrloin,4
510,liepard,11
511,pansage,6
512,simisage,11
513,pansear,6
514,simisear,10
515,panpour,6
516,simipour,10
517,munna,6
518,musharna,11
519,pidove,3
520,tranquill,6
521,unfezant,12
522,blitzle,8
523,zebstrika,16
524,roggenrola,4
525,boldore,9
526,gigalith,17
527,woobat,4
528,swoobat,9
529,drilbur,3
530,excadrill,7
531,audino,11
532,timburr,6
533,gurdurr,12
534,conkeldurr,14
535,tympole,5
536,palpitoad,8
537,seismitoad,15
538,throh,13
539,sawk,14
540,sewaddle,3
541,swadloon,5
542,leavanny,12
543,venipede,4
544,whirlipede,12
545,scolipede,25
546,cottonee,3
547,whimsicott,7
548,petilil,5
549,lilligant,11
550,basculin-red-striped,10
551,sandile,7
552,krokorok,10
553,krookodile,15
554,darumaka,6
555,darmanitan-standard,13
556,maractus,10
557,dwebble,3
558,crustle,14
559,scraggy,6
560,scrafty,11
561,sigilyph,14
562,yamask,5
563,cofagrigus,17
564,tirtouga,7
565,carracosta,12
566,archen,5
567,archeops,14
568,trubbish,6
569,garbodor,19
570,zorua,7
571,zoroark,16
572,minccino,4
573,cinccino,5
574,gothita,4
575,gothorita,7
576,gothitelle,15
577,solosis,3
578,duosion,6
579,reuniclus,10
580,ducklett,5
581,swanna,13
582,vanillite,4
583,vanillish,11
584,vanilluxe,13
585,deerling,6
586,sawsbuck,19
587,emolga,4
588,karrablast,5
589,escavalier,10
590,foongus,2
591,amoonguss,6
592,frillish-male,12
593,jellicent-male,22
594,alomomola,12
595,joltik,1
596,galvantula,8
597,ferroseed,6
598,ferrothorn,10
599,klink,3
600,klang,6
601,klinklang,6
602,tynamo,2
603,eelektrik,12
604,eelektross,21
605,elgyem,5
606,beheeyem,10
607,litwick,3
608,lampent,6
609,chandelure,10
610,axew,6
611,fraxure,10
612,haxorus,18
613,cubchoo,5
614,beartic,26
615,cryogonal,11
616,shelmet,4
617,accelgor,8
618,stunfisk,7
619,mienfoo,9
620,mienshao,14
621,druddigon,16
622,golett,10
623,golurk,28
624,pawniard,5
625,bisharp,16
626,bouffalant,16
627,rufflet,5
628,braviary,15
629,vullaby,5
630,mandibuzz,12
631,heatmor,14
632,durant,3
633,deino,8
634,zweilous,14
635,hydreigon,18
636,larvesta,11
637,volcarona,16
638,cobalion,21
639,terrakion,19
640,virizion,20
641,tornadus-incarnate,15
642,thundurus-incarnate,15
643,reshiram,32
644,zekrom,29
645,landorus-incarnate,15
646,kyurem,30
647,keldeo-ordinary,14
648,meloetta-aria,6
649,genesect,15
650,chespin,4
651,quilladin,7
652,chesnaught,16
653,fennekin,4
654,braixen,10
655,delphox,15
656,froakie,3
657,frogadier,6
658,greninja,15
659,bunnelby,4
660,diggersby,10
661,fletchling,3
662,fletchinder,7
663,talonflame,12
664,scatterbug,3
665,spewpa,3
666,vivillon,12
667,litleo,6
668,pyroar-male,15
669,flabebe,1
670,floette,2
671,florges,11
672,skiddo,9
673,gogoat,17
674,pancham,6
675,pangoro,21
676,furfrou,12
677,espurr,3
678,meowstic-male,6
679,honedge,8
680,doublade,8
681,aegislash-shield,17
682,spritzee,2
683,aromatisse,8
684,swirlix,4
685,slurpuff,8
686,inkay,4
687,malamar,15
688,binacle,5
689,barbaracle,13
690,skrelp,5
691,dragalge,18
692,clauncher,5
693,clawitzer,13
694,helioptile,5
695,heliolisk,10
696,tyrunt,8
697,tyrantrum,25
698,amaura,13
699,aurorus,27
700,sylveon,10
701,hawlucha,8
702,dedenne,2
703,carbink,3
704,goomy,3
705,sliggoo,8
706,goodra,20
707,klefki,2
708,phantump,4
709,trevenant,15
710,pumpkaboo-average,4
711,gourgeist-average,9
712,bergmite,10
713,avalugg,20
714,noibat,5
715,noivern,15
716,xerneas,30
717,yveltal,58
718,zygarde-50,50
719,diancie,7
720,hoopa,5
721,volcanion,17
722,rowlet,3
723,dartrix,7
724,decidueye,16
725,litten,4
726,torracat,7
727,incineroar,18
728,popplio,4
729,brionne,6
730,primarina,18
731,pikipek,3
732,trumbeak,6
733,toucannon,11
734,yungoos,4
735,gumshoos,7
736,grubbin,4
737,charjabug,5
738,vikavolt,15
739,crabrawler,6
740,crabominable,17
741,oricorio-baile,6
742,cutiefly,1
743,ribombee,2
744,rockruff,5
745,lycanroc-midday,8
746,wishiwashi-solo,2
747,mareanie,4
748,toxapex,7
749,mudbray,10
750,mudsdale,25
751,dewpider,3
752,araquanid,18
753,fomantis,3
754,lurantis,9
755,morelull,2
756,shiinotic,10
757,salandit,6
758,salazzle,12
759,stufful,5
760,bewear,21
761,bounsweet,3
762,steenee,7
763,tsareena,12
764,comfey,1
765,oranguru,15
766,passimian,20
767,wimpod,5
768,golisopod,20
769,sandygast,5
770,palossand,13
771,pyukumuku,3
772,type-null,19
773,silvally,23
774,minior-red-meteor,3
775,komala,4
776,turtonator,20
777,togedemaru,3
778,mimikyu-disguised,2
779,bruxish,9
780,drampa,30
781,dhelmise,39
782,jangmo-o,6
783,hakamo-o,12
784,kommo-o,16
785,tapu-koko,18
786,tapu-lele,12
787,tapu-bulu,19
788,tapu-fini,13
789,cosmog,2
790,cosmoem,1
791,solgaleo,34
792,lunala,40
793,nihilego,12
794,buzzwole,24
795,pheromosa,18
796,xurkitree,38
797,celesteela,92
798,kartana,3
799,guzzlord,55
800,necrozma,24
801,magearna,10
802,marshadow,7
803,poipole,6
804,naganadel,36
805,stakataka,55
806,blacephalon,18
807,zeraora,15
808,meltan,2
809,melmetal,25
810,grookey,3
811,thwackey,7
812,rillaboom,21
813,scorbunny,3
814,raboot,6
815,cinderace,14
816,sobble,3
817,drizzile,7
818,inteleon,19
819,skwovet,3
820,greedent,6
821,rookidee,2
822,corvisquire,8
823,corviknight,22
824,blipbug,4
825,dottler,4
826,orbeetle,4
827,nickit,6
828,thievul,12
829,gossifleur,4
830,eldegoss,5
831,wooloo,6
832,dubwool,13
833,chewtle,3
834,drednaw,10
835,yamper,3
836,boltund,10
837,rolycoly,3
838,carkol,11
839,coalossal,28
840,applin,2
841,flapple,3
842,appletun,4
843,silicobra,22
844,sandaconda,38
845,cramorant,8
846,arrokuda,5
847,barraskewda,13
848,toxel,4
849,toxtricity-amped,16
850,sizzlipede,7
851,centiskorch,30
852,clobbopus,6
853,grapploct,16
854,sinistea,1
855,polteageist,2
856,hatenna,4
857,hattrem,6
858,hatterene,21
859,impidimp,4
860,morgrem,8
861,grimmsnarl,15
862,obstagoon,16
863,perrserker,8
864,cursola,10
865,sirfetchd,8
866,mr-rime,15
867,runerigus,16
868,milcery,2
869,alcremie,3
870,falinks,30
871,pincurchin,3
872,snom,3
873,frosmoth,13
874,stonjourner,25
875,eiscue-ice,14
876,indeedee-male,9
877,morpeko-full-belly,3
878,cufant,12
879,copperajah,30
880,dracozolt,18
881,arctozolt,23
882,dracovish,23
883,arctovish,20
884,duraludon,18
885,dreepy,5
886,drakloak,14
887,dragapult,30
888,zacian,28
889,zamazenta,29
890,eternatus,200
891,kubfu,6
892,urshifu-single-strike,19
893,zarude,18
894,regieleki,12
895,regidrago,21
896,glastrier,22
897,spectrier,20
898,calyrex,11
899,wyrdeer,18
900,kleavor,18
901,ursaluna,24
902,basculegion-male,30
903,sneasler,13
904,overqwil,25
905,enamorus-incarnate,16
906,sprigatito,4
907,floragato,9
908,meowscarada,15
909,fuecoco,4
910,crocalor,10
911,skeledirge,16
912,quaxly,5
913,quaxwell,12
914,quaquaval,18
915,lechonk,5
916,oinkologne-male,10
917,tarountula,3
918,spidops,10
919,nymble,2
920,lokix,10
921,pawmi,3
922,pawmo,4
923,pawmot,9
924,tandemaus,3
925,maushold-family-of-four,3
926,fidough,3
927,dachsbun,5
928,smoliv,3
929,dolliv,6
930,arboliva,14
931,squawkabilly-green-plumage,6
932,nacli,4
933,naclstack,6
934,garganacl,23
935,charcadet,6
936,armarouge,15
937,ceruledge,16
938,tadbulb,3
939,bellibolt,12
940,wattrel,4
941,kilowattrel,14
942,maschiff,5
943,mabosstiff,11
944,shroodle,2
945,grafaiai,7
946,bramblin,6
947,brambleghast,12
948,toedscool,9
949,toedscruel,19
950,klawf,13
951,capsakid,3
952,scovillain,9
953,rellor,2
954,rabsca,3
955,flittle,2
956,espathra,19
957,tinkatink,4
958,tinkatuff,7
959,tinkaton,7
960,wiglett,12
961,wugtrio,12
962,bombirdier,15
963,finizen,13
964,palafin-zero,13
965,varoom,10
966,revavroom,18
967,cyclizar,16
968,orthworm,25
969,glimmet,7
970,glimmora,15
971,greavard,6
972,houndstone,20
973,flamigo,16
974,cetoddle,12
975,cetitan,45
976,veluza,25
977,dondozo,120
978,tatsugiri-curly,3
979,annihilape,12
980,clodsire,18
981,farigiraf,32
982,dudunsparce-two-segment,36
983,kingambit,20
984,great-tusk,22
985,scream-tail,12
986,brute-bonnet,12
987,flutter-mane,14
988,slither-wing,32
989,sandy-shocks,23
990,iron-treads,9
991,iron-bundle,6
992,iron-hands,18
993,iron-jugulis,13
994,iron-moth,12
995,iron-thorns,16
996,frigibax,5
997,arctibax,8
998,baxcalibur,21
999,gimmighoul,3
1000,gholdengo,12
1001,wo-chien,15
1002,chien-pao,19
1003,ting-lu,27
1004,chi-yu,4
1005,roaring-moon,20
1006,iron-valiant,14
1007,koraidon,25
1008,miraidon,35
1009,walking-wake,35
1010,iron-leaves,15
1011,dipplin,4
1012,poltchageist,1
1013,sinistcha,2
1014,okidogi,18
1015,munkidori,10
1016,fezandipiti,14
1017,ogerpon,12
1018,archaludon,20
1019,hydrapple,18
1020,gouging-fire,35
1021,raging-bolt,52
1022,iron-boulder,15
1023,iron-crown,16
1024,terapagos,2
1025,pecharunt,3
